,0
Schaefer217.1,1.0
Schaefer217.2,1.0
Schaefer217.3,1.0
Schaefer217.4,1.0
Schaefer217.5,1.0
Schaefer217.6,1.0
Schaefer217.7,1.0
Schaefer217.8,1.0
Schaefer217.9,1.0
Schaefer217.10,1.0
Schaefer217.11,1.0
Schaefer217.12,1.0
Schaefer217.13,1.0
Schaefer217.14,1.0
Schaefer217.15,1.0
Schaefer217.16,1.0
Schaefer217.17,1.0
Schaefer217.18,1.0
Schaefer217.19,1.0
Schaefer217.20,1.0
Schaefer217.21,1.0
Schaefer217.22,1.0
Schaefer217.23,1.0
Schaefer217.24,1.0
Schaefer217.25,1.0
Schaefer217.26,1.0
Schaefer217.27,1.0
Schaefer217.28,1.0
Schaefer217.29,1.0
Schaefer217.30,1.0
Schaefer217.31,0.39056094390560947
Schaefer217.32,1.0
Schaefer217.33,1.0
Schaefer217.34,1.0
Schaefer217.35,1.0
Schaefer217.36,1.0
Schaefer217.37,1.0
Schaefer217.38,1.0
Schaefer217.39,1.0
Schaefer217.40,1.0
Schaefer217.41,1.0
Schaefer217.42,1.0
Schaefer217.43,0.038396160383961604
Schaefer217.44,0.019798020197980205
Schaefer217.45,1.0
Schaefer217.46,1.0
Schaefer217.47,1.0
Schaefer217.48,1.0
Schaefer217.49,1.0
Schaefer217.50,1.0
Schaefer217.51,1.0
Schaefer217.52,1.0
Schaefer217.53,1.0
Schaefer217.54,0.26177382261773824
Schaefer217.55,1.0
Schaefer217.56,1.0
Schaefer217.57,1.0
Schaefer217.58,1.0
Schaefer217.59,1.0
Schaefer217.60,1.0
Schaefer217.61,1.0
Schaefer217.62,1.0
Schaefer217.63,0.019998000199980003
Schaefer217.64,1.0
Schaefer217.65,1.0
Schaefer217.66,1.0
Schaefer217.67,1.0
Schaefer217.68,1.0
Schaefer217.69,1.0
Schaefer217.70,1.0
Schaefer217.71,1.0
Schaefer217.72,0.11398860113988601
Schaefer217.73,1.0
Schaefer217.74,0.0192980701929807
Schaefer217.75,1.0
Schaefer217.76,1.0
Schaefer217.77,0.6071392860713929
Schaefer217.78,1.0
Schaefer217.79,1.0
Schaefer217.80,1.0
Schaefer217.81,1.0
Schaefer217.82,1.0
Schaefer217.83,1.0
Schaefer217.84,1.0
Schaefer217.85,1.0
Schaefer217.86,1.0
Schaefer217.87,1.0
Schaefer217.88,1.0
Schaefer217.89,1.0
Schaefer217.90,1.0
Schaefer217.91,1.0
Schaefer217.92,1.0
Schaefer217.93,1.0
Schaefer217.94,1.0
Schaefer217.95,0.6587341265873412
Schaefer217.96,1.0
Schaefer217.97,0.019498050194980503
Schaefer217.98,1.0
Schaefer217.99,1.0
Schaefer217.100,1.0
Schaefer217.101,1.0
Schaefer217.102,1.0
Schaefer217.103,1.0
Schaefer217.104,1.0
Schaefer217.105,1.0
Schaefer217.106,1.0
Schaefer217.107,1.0
Schaefer217.108,1.0
Schaefer217.109,1.0
Schaefer217.110,1.0
Schaefer217.111,1.0
Schaefer217.112,1.0
Schaefer217.113,1.0
Schaefer217.114,1.0
Schaefer217.115,1.0
Schaefer217.116,1.0
Schaefer217.117,1.0
Schaefer217.118,0.15118488151184883
Schaefer217.119,1.0
Schaefer217.120,1.0
Schaefer217.121,1.0
Schaefer217.122,1.0
Schaefer217.123,1.0
Schaefer217.124,1.0
Schaefer217.125,1.0
Schaefer217.126,1.0
Schaefer217.127,1.0
Schaefer217.128,1.0
Schaefer217.129,1.0
Schaefer217.130,1.0
Schaefer217.131,1.0
Schaefer217.132,1.0
Schaefer217.133,1.0
Schaefer217.134,1.0
Schaefer217.135,0.05729427057294271
Schaefer217.136,1.0
Schaefer217.137,1.0
Schaefer217.138,1.0
Schaefer217.139,1.0
Schaefer217.140,1.0
Schaefer217.141,1.0
Schaefer217.142,1.0
Schaefer217.143,1.0
Schaefer217.144,1.0
Schaefer217.145,1.0
Schaefer217.146,1.0
Schaefer217.147,1.0
Schaefer217.148,1.0
Schaefer217.149,0.019398060193980604
Schaefer217.150,1.0
Schaefer217.151,1.0
Schaefer217.152,1.0
Schaefer217.153,1.0
Schaefer217.154,1.0
Schaefer217.155,1.0
Schaefer217.156,1.0
Schaefer217.157,1.0
Schaefer217.158,1.0
Schaefer217.159,1.0
Schaefer217.160,1.0
Schaefer217.161,1.0
Schaefer217.162,1.0
Schaefer217.163,1.0
Schaefer217.164,1.0
Schaefer217.165,1.0
Schaefer217.166,1.0
Schaefer217.167,1.0
Schaefer217.168,1.0
Schaefer217.169,1.0
Schaefer217.170,1.0
Schaefer217.171,1.0
Schaefer217.172,1.0
Schaefer217.173,1.0
Schaefer217.174,1.0
Schaefer217.175,1.0
Schaefer217.176,1.0
Schaefer217.177,1.0
Schaefer217.178,1.0
Schaefer217.179,0.20677932206779323
Schaefer217.180,1.0
Schaefer217.181,1.0
Schaefer217.182,1.0
Schaefer217.183,1.0
Schaefer217.184,1.0
Schaefer217.185,1.0
Schaefer217.186,1.0
Schaefer217.187,1.0
Schaefer217.188,1.0
Schaefer217.189,1.0
Schaefer217.190,1.0
Schaefer217.191,0.019598040195980403
Schaefer217.192,1.0
Schaefer217.193,1.0
Schaefer217.194,0.019698030196980302
Schaefer217.195,0.49945005499450057
Schaefer217.196,0.8687131286871312
Schaefer217.197,1.0
Schaefer217.198,0.019898010198980104
Schaefer217.199,1.0
Schaefer217.200,0.7825217478252176
