,0
Markov.1,1.0
Markov.2,1.0
Markov.3,1.0
Markov.4,1.0
Markov.5,0.305969403059694
Markov.6,1.0
Markov.7,1.0
Markov.8,1.0
Markov.9,1.0
Markov.10,1.0
Markov.11,1.0
Markov.12,1.0
Markov.13,0.051894810518948106
Markov.14,1.0
Markov.15,1.0
Markov.16,0.43675632436756323
Markov.17,1.0
Markov.18,1.0
Markov.19,1.0
Markov.20,1.0
Markov.21,1.0
Markov.22,1.0
Markov.23,1.0
Markov.24,1.0
Markov.25,0.42245775422457754
Markov.26,1.0
Markov.27,1.0
Markov.28,1.0
Markov.29,1.0
Markov.30,1.0
Markov.31,1.0
Markov.32,1.0
Markov.33,1.0
Markov.34,1.0
Markov.35,1.0
Markov.36,1.0
Markov.37,1.0
Markov.38,0.0178982101789821
Markov.39,1.0
Markov.40,1.0
Markov.41,1.0
Markov.42,0.8744125587441256
Markov.43,1.0
Markov.44,1.0
Markov.45,1.0
Markov.46,1.0
Markov.47,1.0
Markov.48,1.0
Markov.49,1.0
Markov.50,1.0
Markov.51,1.0
Markov.52,1.0
Markov.53,1.0
Markov.54,1.0
Markov.55,1.0
Markov.56,1.0
Markov.57,1.0
Markov.58,1.0
Markov.59,1.0
Markov.60,1.0
Markov.61,0.017598240175982403
Markov.62,1.0
Markov.63,1.0
Markov.64,1.0
Markov.65,1.0
Markov.66,1.0
Markov.67,1.0
Markov.68,1.0
Markov.69,1.0
Markov.70,1.0
Markov.71,1.0
Markov.72,0.05219478052194781
Markov.73,1.0
Markov.74,1.0
Markov.75,1.0
Markov.76,1.0
Markov.77,1.0
Markov.78,0.2222777722227777
Markov.79,1.0
Markov.80,1.0
Markov.81,0.018098190180981903
Markov.82,1.0
Markov.83,1.0
Markov.84,1.0
Markov.85,1.0
Markov.86,1.0
Markov.87,1.0
Markov.88,1.0
Markov.89,0.12038796120387962
Markov.90,1.0
Markov.91,1.0
Markov.92,0.45085491450854914
Markov.93,1.0
Markov.94,1.0
Markov.95,1.0
Markov.96,1.0
Markov.97,1.0
Markov.98,1.0
Markov.99,1.0
Markov.100,1.0
Markov.101,1.0
Markov.102,1.0
Markov.103,1.0
Markov.104,0.018198180181981802
Markov.105,1.0
Markov.106,1.0
Markov.107,1.0
Markov.108,1.0
Markov.109,1.0
Markov.110,1.0
Markov.111,1.0
Markov.112,1.0
Markov.113,1.0
Markov.114,1.0
Markov.115,1.0
Markov.116,1.0
Markov.117,0.8631136886311368
Markov.118,1.0
Markov.119,1.0
Markov.120,1.0
Markov.121,1.0
Markov.122,1.0
Markov.123,1.0
Markov.124,1.0
Markov.125,1.0
Markov.126,1.0
Markov.127,1.0
Markov.128,1.0
Markov.129,1.0
Markov.130,1.0
Markov.131,1.0
Markov.132,1.0
Markov.133,1.0
Markov.134,1.0
Markov.135,1.0
Markov.136,1.0
Markov.137,1.0
Markov.138,1.0
Markov.139,1.0
Markov.140,1.0
Markov.141,1.0
Markov.142,1.0
Markov.143,1.0
Markov.144,1.0
Markov.145,0.017998200179982004
Markov.146,0.017698230176982303
Markov.147,1.0
Markov.148,1.0
Markov.149,1.0
Markov.150,1.0
Markov.151,1.0
Markov.152,1.0
Markov.153,1.0
Markov.154,1.0
Markov.155,1.0
Markov.156,1.0
Markov.157,1.0
Markov.158,1.0
Markov.159,1.0
Markov.160,1.0
Markov.161,1.0
Markov.162,1.0
Markov.163,1.0
Markov.164,1.0
Markov.165,1.0
Markov.166,1.0
Markov.167,1.0
Markov.168,1.0
Markov.169,1.0
Markov.170,1.0
Markov.171,1.0
Markov.172,0.017798220177982202
Markov.173,0.03499650034996501
Markov.174,1.0
Markov.175,1.0
Markov.176,1.0
Markov.177,1.0
Markov.178,1.0
Markov.179,1.0
Markov.180,1.0
Markov.181,1.0
Markov.182,1.0
